id,name,height,weight,base_experience,types,abilities,moves
11,metapod,7,99,72,bug,shed-skin,"bug-bite, electroweb, harden, iron-defense, string-shot"
12,butterfree,11,320,198,"bug, flying","compound-eyes, tinted-lens","acrobatics, aerial-ace, air-cutter, air-slash, attract, baton-pass, bide, bug-bite, bug-buzz, captivate, confide, confusion, curse, defog, double-edge, double-team, draining-kiss, dream-eater, dual-wingbeat, electroweb, endure, energy-ball, facade, flash, frustration, giga-drain, giga-impact, gust, harden, headbutt, hidden-power, hurricane, hyper-beam, infestation, iron-defense, mega-drain, mimic, natural-gift, nightmare, ominous-wind, poison-powder, pollen-puff, protect, psybeam, psych-up, psychic, psywave, quiver-dance, rage, rage-powder, rain-dance, razor-wind, reflect, rest, return, roost, round, safeguard, secret-power, shadow-ball, signal-beam, silver-wind, skill-swap, sleep-powder, sleep-talk, snore, solar-beam, string-shot, struggle-bug, stun-spore, substitute, sunny-day, supersonic, swagger, sweet-scent, swift, tackle, tailwind, take-down, teleport, thief, toxic, twister, u-turn, venoshock, whirlwind"
13,weedle,3,32,39,"bug, poison","run-away, shield-dust","bug-bite, electroweb, poison-sting, string-shot"
14,kakuna,6,100,72,"bug, poison",shed-skin,"bug-bite, electroweb, harden, iron-defense, string-shot"
15,beedrill,10,295,178,"bug, poison","sniper, swarm","acrobatics, aerial-ace, agility, air-cutter, assurance, attract, bide, brick-break, brutal-swing, bug-bite, captivate, confide, curse, cut, defog, double-edge, double-team, drill-run, electroweb, endeavor, endure, facade, false-swipe, fell-stinger, flash, focus-energy, frustration, fury-attack, fury-cutter, giga-drain, giga-impact, harden, headbutt, hidden-power, hyper-beam, infestation, knock-off, laser-focus, mega-drain, mimic, natural-gift, ominous-wind, outrage, payback, peck, pin-missile, poison-jab, poison-sting, protect, pursuit, rage, reflect, rest, return, rock-smash, roost, round, secret-power, silver-wind, skull-bash, sleep-talk, sludge-bomb, snore, solar-beam, string-shot, struggle-bug, substitute, sunny-day, swagger, sweet-scent, swift, swords-dance, tailwind, take-down, thief, throat-chop, toxic, toxic-spikes, twineedle, u-turn, venoshock, x-scissor"
16,pidgey,3,18,50,"flying, normal","big-pecks, keen-eye, tangled-feet","aerial-ace, agility, air-cutter, air-slash, attract, bide, brave-bird, captivate, confide, curse, defog, detect, double-edge, double-team, endure, facade, feather-dance, feint-attack, fly, foresight, frustration, gust, headbutt, heat-wave, hidden-power, hurricane, mimic, mirror-move, mud-slap, natural-gift, ominous-wind, pluck, protect, pursuit, quick-attack, rage, rain-dance, razor-wind, reflect, rest, return, roost, round, sand-attack, secret-power, sky-attack, sleep-talk, snore, steel-wing, substitute, sunny-day, swagger, swift, tackle, tailwind, take-down, thief, toxic, twister, u-turn, uproar, whirlwind, wing-attack, work-up"
17,pidgeotto,11,300,122,"flying, normal","big-pecks, keen-eye, tangled-feet","aerial-ace, agility, air-cutter, air-slash, attract, bide, captivate, confide, curse, defog, detect, double-edge, double-team, endure, facade, feather-dance, fly, frustration, gust, headbutt, heat-wave, hidden-power, hurricane, mimic, mirror-move, mud-slap, natural-gift, ominous-wind, pluck, protect, quick-attack, rage, rain-dance, razor-wind, reflect, rest, return, roost, round, sand-attack, secret-power, sky-attack, sleep-talk, snore, steel-wing, substitute, sunny-day, swagger, swift, tackle, tailwind, take-down, thief, toxic, twister, u-turn, uproar, whirlwind, wing-attack, work-up"
18,pidgeot,15,395,216,"flying, normal","big-pecks, keen-eye, tangled-feet","aerial-ace, agility, air-cutter, air-slash, attract, bide, captivate, confide, curse, defog, detect, double-edge, double-team, endure, facade, feather-dance, fly, frustration, giga-impact, gust, headbutt, heat-wave, hidden-power, hurricane, hyper-beam, laser-focus, mimic, mirror-move, mud-slap, natural-gift, ominous-wind, pluck, protect, quick-attack, rage, rain-dance, razor-wind, reflect, rest, return, roost, round, sand-attack, secret-power, sky-attack, sleep-talk, snore, steel-wing, substitute, sunny-day, swagger, swift, tackle, tailwind, take-down, thief, toxic, twister, u-turn, uproar, whirlwind, wing-attack, work-up"
19,rattata,3,35,51,normal,"guts, hustle, run-away","assurance, attract, bide, bite, blizzard, body-slam, bubble-beam, captivate, charge-beam, confide, counter, covet, crunch, curse, cut, defense-curl, dig, double-edge, double-team, endeavor, endure, facade, final-gambit, flame-wheel, focus-energy, frustration, fury-swipes, grass-knot, headbutt, hidden-power, hyper-fang, ice-beam, icy-wind, iron-tail, laser-focus, last-resort, me-first, mimic, mud-slap, natural-gift, pluck, protect, pursuit, quick-attack, rage, rain-dance, rest, retaliate, return, revenge, reversal, rock-smash, round, screech, secret-power, shadow-ball, shock-wave, skull-bash, sleep-talk, sludge-bomb, snore, substitute, sucker-punch, sunny-day, super-fang, swagger, swift, tackle, tail-whip, take-down, taunt, thief, thunder, thunder-wave, thunderbolt, toxic, u-turn, uproar, water-gun, wild-charge, work-up, zen-headbutt"
20,raticate,7,185,145,normal,"guts, hustle, run-away","assurance, attract, bide, bite, blizzard, body-slam, bubble-beam, captivate, charge-beam, confide, counter, covet, crunch, curse, cut, defense-curl, dig, double-edge, double-team, endeavor, endure, facade, focus-energy, frustration, fury-swipes, giga-impact, grass-knot, headbutt, hidden-power, hyper-beam, hyper-fang, ice-beam, icy-wind, iron-tail, laser-focus, last-resort, mimic, mud-slap, natural-gift, pluck, protect, pursuit, quick-attack, rage, rain-dance, rest, retaliate, return, roar, rock-smash, round, scary-face, secret-power, shadow-ball, shock-wave, skull-bash, sleep-talk, sludge-bomb, snore, stomping-tantrum, strength, substitute, sucker-punch, sunny-day, super-fang, swagger, swift, swords-dance, tackle, tail-whip, take-down, taunt, thief, throat-chop, thunder, thunder-wave, thunderbolt, toxic, u-turn, uproar, water-gun, wild-charge, work-up, zen-headbutt"
21,spearow,3,20,52,"flying, normal","keen-eye, sniper","aerial-ace, agility, air-cutter, assurance, astonish, attract, bide, captivate, confide, curse, defog, detect, double-edge, double-team, drill-peck, drill-run, echoed-voice, endure, facade, false-swipe, feather-dance, feint-attack, fly, focus-energy, frustration, fury-attack, growl, headbutt, heat-wave, hidden-power, leer, mimic, mirror-move, mud-slap, natural-gift, ominous-wind, peck, pluck, protect, pursuit, quick-attack, rage, rain-dance, razor-wind, rest, return, roost, round, scary-face, secret-power, sky-attack, sleep-talk, snore, steel-wing, substitute, sunny-day, swagger, swift, tailwind, take-down, thief, toxic, tri-attack, twister, u-turn, uproar, whirlwind, wing-attack, work-up"
22,fearow,12,380,155,"flying, normal","keen-eye, sniper","aerial-ace, agility, air-cutter, assurance, attract, bide, captivate, confide, curse, defog, detect, double-edge, double-team, drill-peck, drill-run, echoed-voice, endure, facade, false-swipe, fly, focus-energy, frustration, fury-attack, giga-impact, growl, headbutt, heat-wave, hidden-power, hyper-beam, laser-focus, leer, mimic, mirror-move, mud-slap, natural-gift, ominous-wind, peck, pluck, protect, pursuit, quick-attack, rage, rain-dance, razor-wind, rest, return, roost, round, secret-power, sky-attack, sleep-talk, snore, steel-wing, substitute, sunny-day, swagger, swift, tailwind, take-down, thief, throat-chop, toxic, tri-attack, twister, u-turn, uproar, whirlwind, wing-attack, work-up"
23,ekans,20,69,58,poison,"intimidate, shed-skin, unnerve","acid, acid-spray, aqua-tail, attract, beat-up, belch, bide, bind, bite, body-slam, brutal-swing, bulldoze, captivate, coil, confide, crunch, curse, dark-pulse, dig, disable, double-edge, double-team, earthquake, endure, facade, fire-fang, fissure, frustration, gastro-acid, giga-drain, glare, gunk-shot, haze, headbutt, hidden-power, infestation, iron-tail, knock-off, lash-out, leech-life, leer, mega-drain, mimic, mud-bomb, mud-shot, mud-slap, natural-gift, payback, poison-fang, poison-jab, poison-sting, poison-tail, protect, psychic-fangs, pursuit, rage, rain-dance, rest, return, rock-slide, rock-tomb, round, scale-shot, scary-face, screech, secret-power, seed-bomb, skitter-smack, skull-bash, slam, sleep-talk, sludge-bomb, sludge-wave, snarl, snatch, snore, spit-up, spite, stockpile, strength, substitute, sucker-punch, sunny-day, swagger, swallow, switcheroo, take-down, tera-blast, thief, torment, toxic, toxic-spikes, trailblaze, venoshock, wrap"
24,arbok,35,650,157,poison,"intimidate, shed-skin, unnerve","acid, acid-spray, aqua-tail, attract, belch, bide, bind, bite, body-slam, breaking-swipe, brutal-swing, bulldoze, captivate, coil, confide, crunch, curse, dark-pulse, dig, double-edge, double-team, dragon-tail, earthquake, endure, facade, fire-fang, fissure, frustration, gastro-acid, giga-drain, giga-impact, glare, gunk-shot, haze, headbutt, hidden-power, hyper-beam, ice-fang, infestation, iron-tail, knock-off, lash-out, leech-life, leer, mega-drain, mimic, mud-bomb, mud-shot, mud-slap, natural-gift, pain-split, payback, poison-fang, poison-jab, poison-sting, poison-tail, protect, psychic-fangs, rage, rain-dance, rest, return, rock-slide, rock-tomb, round, scale-shot, scary-face, screech, secret-power, seed-bomb, skitter-smack, skull-bash, slam, sleep-talk, sludge-bomb, sludge-wave, snarl, snatch, snore, spit-up, spite, stockpile, stomping-tantrum, strength, substitute, sucker-punch, sunny-day, swagger, swallow, switcheroo, take-down, tera-blast, thief, throat-chop, thunder-fang, torment, toxic, toxic-spikes, trailblaze, venoshock, wrap"
25,pikachu,4,60,112,electric,"lightning-rod, static","agility, alluring-voice, attract, bide, body-slam, brick-break, calm-mind, captivate, charge, charge-beam, charm, confide, counter, covet, curse, defense-curl, detect, dig, disarming-voice, discharge, double-edge, double-kick, double-team, draining-kiss, dynamic-punch, echoed-voice, eerie-impulse, electric-terrain, electro-ball, electroweb, encore, endeavor, endure, facade, fake-tears, feint, flash, fling, focus-punch, frustration, grass-knot, growl, headbutt, helping-hand, hidden-power, iron-tail, knock-off, laser-focus, light-screen, magnet-rise, mega-kick, mega-punch, mimic, mud-slap, nasty-plot, natural-gift, nuzzle, pay-day, play-nice, play-rough, protect, quick-attack, rage, rain-dance, reflect, rest, return, reversal, rising-voltage, rock-smash, rollout, round, secret-power, seismic-toss, shock-wave, signal-beam, skull-bash, slam, sleep-talk, snore, spark, strength, submission, substitute, surf, swagger, sweet-kiss, swift, tail-whip, take-down, tera-blast, thief, thunder, thunder-punch, thunder-shock, thunder-wave, thunderbolt, toxic, trailblaze, upper-hand, uproar, volt-switch, volt-tackle, wild-charge, zap-cannon"
26,raichu,8,300,243,electric,"lightning-rod, static","agility, alluring-voice, attract, bide, body-slam, brick-break, brutal-swing, calm-mind, captivate, charge, charge-beam, charm, confide, counter, covet, curse, defense-curl, detect, dig, disarming-voice, discharge, double-edge, double-team, draining-kiss, dynamic-punch, echoed-voice, eerie-impulse, electric-terrain, electro-ball, electroweb, encore, endeavor, endure, facade, fake-out, feint, flash, fling, focus-blast, focus-punch, frustration, giga-impact, grass-knot, growl, headbutt, helping-hand, hidden-power, hyper-beam, iron-tail, knock-off, laser-focus, light-screen, magnet-rise, mega-kick, mega-punch, mimic, mud-slap, nasty-plot, natural-gift, nuzzle, pay-day, play-nice, play-rough, protect, quick-attack, rage, rain-dance, reflect, rest, return, reversal, rising-voltage, rock-smash, rollout, round, safeguard, secret-power, seismic-toss, shock-wave, signal-beam, skull-bash, slam, sleep-talk, snore, spark, speed-swap, strength, submission, substitute, surf, swagger, sweet-kiss, swift, tail-whip, take-down, tera-blast, thief, thunder, thunder-punch, thunder-shock, thunder-wave, thunderbolt, toxic, trailblaze, upper-hand, uproar, volt-switch, wild-charge, zap-cannon"
27,sandshrew,6,120,60,ground,"sand-rush, sand-veil","aerial-ace, agility, amnesia, attract, bide, body-slam, brick-break, bulldoze, captivate, chip-away, confide, counter, covet, crush-claw, curse, cut, defense-curl, detect, dig, double-edge, double-team, dynamic-punch, earth-power, earthquake, endeavor, endure, facade, false-swipe, fissure, flail, fling, focus-punch, frustration, fury-cutter, fury-swipes, gyro-ball, headbutt, hidden-power, high-horsepower, hone-claws, iron-tail, knock-off, leech-life, low-kick, magnitude, metal-claw, mimic, mud-shot, mud-slap, natural-gift, night-slash, poison-jab, poison-sting, protect, rage, rapid-spin, rest, return, rock-climb, rock-slide, rock-smash, rock-tomb, rollout, rototiller, round, safeguard, sand-attack, sand-tomb, sandstorm, scorching-sands, scratch, secret-power, seismic-toss, shadow-claw, skull-bash, slash, sleep-talk, smack-down, snore, spikes, stealth-rock, steel-roller, stomping-tantrum, stone-edge, strength, submission, substitute, sunny-day, super-fang, swagger, swift, swords-dance, take-down, tera-blast, thief, throat-chop, toxic, work-up, x-scissor"
28,sandslash,10,295,158,ground,"sand-rush, sand-veil","aerial-ace, agility, amnesia, attract, bide, body-slam, brick-break, bulldoze, captivate, confide, counter, covet, crush-claw, curse, cut, defense-curl, detect, dig, double-edge, double-team, drill-run, dynamic-punch, earth-power, earthquake, endeavor, endure, facade, false-swipe, fissure, flail, fling, focus-blast, focus-punch, frustration, fury-cutter, fury-swipes, giga-impact, gunk-shot, gyro-ball, headbutt, hidden-power, high-horsepower, hone-claws, hyper-beam, iron-tail, knock-off, leech-life, low-kick, magnitude, metal-claw, mimic, mud-shot, mud-slap, natural-gift, night-slash, pin-missile, poison-jab, poison-sting, protect, rage, rapid-spin, rest, return, rock-climb, rock-slide, rock-smash, rock-tomb, rollout, round, safeguard, sand-attack, sand-tomb, sandstorm, scorching-sands, scratch, secret-power, seismic-toss, shadow-claw, skull-bash, slash, sleep-talk, smack-down, snore, spikes, stealth-rock, steel-roller, stomping-tantrum, stone-edge, strength, submission, substitute, sunny-day, super-fang, swagger, swift, swords-dance, take-down, tera-blast, thief, throat-chop, toxic, work-up, x-scissor"
29,nidoran-f,4,70,55,poison,"hustle, poison-point, rivalry","aerial-ace, attract, beat-up, bide, bite, blizzard, body-slam, captivate, charm, chip-away, confide, counter, crunch, curse, cut, defense-curl, detect, dig, disable, double-edge, double-kick, double-team, earth-power, echoed-voice, endure, facade, flatter, focus-energy, frustration, fury-swipes, growl, headbutt, helping-hand, hidden-power, hone-claws, ice-beam, iron-tail, mimic, mud-slap, natural-gift, poison-fang, poison-jab, poison-sting, poison-tail, protect, pursuit, rage, rain-dance, reflect, rest, return, rock-smash, round, scratch, secret-power, shadow-claw, shock-wave, skull-bash, sleep-talk, sludge-bomb, snore, strength, substitute, sunny-day, super-fang, supersonic, swagger, tackle, tail-whip, take-down, thief, thunder, thunderbolt, toxic, toxic-spikes, venom-drench, venoshock, water-pulse"
30,nidorina,8,200,128,poison,"hustle, poison-point, rivalry","aerial-ace, attract, beat-up, bide, bite, blizzard, body-slam, bubble-beam, captivate, charm, confide, counter, crunch, curse, cut, defense-curl, detect, dig, double-edge, double-kick, double-team, earth-power, echoed-voice, endure, facade, flatter, focus-energy, frustration, fury-swipes, growl, headbutt, helping-hand, hidden-power, hone-claws, horn-drill, ice-beam, iron-tail, mimic, mud-slap, natural-gift, poison-fang, poison-jab, poison-sting, protect, rage, rain-dance, reflect, rest, return, rock-smash, round, scratch, secret-power, shadow-claw, shock-wave, skull-bash, sleep-talk, sludge-bomb, snore, stomping-tantrum, strength, substitute, sunny-day, super-fang, swagger, tackle, tail-whip, take-down, thief, thunder, thunderbolt, toxic, toxic-spikes, venom-drench, venoshock, water-gun, water-pulse"
31,nidoqueen,13,600,253,"ground, poison","poison-point, rivalry, sheer-force","aerial-ace, aqua-tail, attract, avalanche, beat-up, bide, bite, blizzard, body-press, body-slam, brick-break, bubble-beam, bulldoze, captivate, charm, chip-away, confide, counter, crunch, curse, cut, defense-curl, detect, dig, double-edge, double-kick, double-team, dragon-pulse, dragon-tail, drill-run, dynamic-punch, earth-power, earthquake, echoed-voice, endure, facade, fire-blast, fire-punch, fissure, flamethrower, flatter, fling, focus-blast, focus-energy, focus-punch, frustration, fury-cutter, fury-swipes, giga-impact, growl, headbutt, helping-hand, hex, hidden-power, high-horsepower, hone-claws, horn-drill, hyper-beam, ice-beam, ice-punch, icy-wind, incinerate, iron-tail, mega-kick, mega-punch, mimic, mud-shot, mud-slap, natural-gift, outrage, pay-day, poison-jab, poison-sting, power-up-punch, protect, quash, rage, rain-dance, reflect, rest, return, roar, rock-blast, rock-climb, rock-slide, rock-smash, rock-tomb, round, sand-tomb, sandstorm, scorching-sands, scratch, secret-power, seismic-toss, shadow-ball, shadow-claw, shock-wave, skull-bash, sleep-talk, sludge-bomb, sludge-wave, smack-down, snore, stealth-rock, stomping-tantrum, stone-edge, strength, submission, substitute, sunny-day, super-fang, superpower, supersonic, surf, swagger, tackle, tail-whip, take-down, taunt, thief, throat-chop, thunder, thunder-punch, thunderbolt, torment, toxic, toxic-spikes, uproar, venom-drench, venoshock, water-gun, water-pulse, whirlpool"
32,nidoran-m,5,90,55,poison,"hustle, poison-point, rivalry","amnesia, attract, beat-up, bide, blizzard, body-slam, captivate, chip-away, confide, confusion, counter, curse, cut, defense-curl, detect, dig, disable, double-edge, double-kick, double-team, drill-run, earth-power, echoed-voice, endure, facade, flatter, focus-energy, frustration, fury-attack, head-smash, headbutt, helping-hand, hidden-power, hone-claws, horn-attack, horn-drill, ice-beam, iron-tail, leer, mimic, mud-slap, natural-gift, peck, poison-jab, poison-sting, poison-tail, protect, rage, rain-dance, reflect, rest, return, rock-smash, round, secret-power, shadow-claw, shock-wave, skull-bash, sleep-talk, sludge-bomb, smart-strike, snore, strength, substitute, sucker-punch, sunny-day, super-fang, supersonic, swagger, tackle, take-down, thief, thrash, thunder, thunderbolt, toxic, toxic-spikes, venom-drench, venoshock, water-pulse"
